source,target
0,1330
1,508
1,1308
1,1258
2,1226
2,2021
2,16
2,2011
2,1714
2,1190
3,468
3,1188
3,1009
3,1770
3,1753
4,1111
4,1991
5,1691
5,74
6,1306
7,1850
7,1802
7,1351
7,2037
7,683
9,1981
9,327
9,487
9,462
9,1772
9,1218
10,1852
10,718
10,1346
10,1348
11,729
11,1584
11,1249
11,303
11,997
11,1103
12,458
13,1856
13,1180
13,1524
13,2057
13,1403
14,1014
14,345
15,911
16,210
16,384
17,304
17,747
18,37
18,320
19,976
19,1277
19,389
19,211
19,298
20,1860
20,1642
20,1929
20,1338
21,578
21,386
21,1287
21,2070
21,445
22,1074
22,2035
23,804
23,1543
23,1262
23,359
24,353
24,1429
24,174
24,1550
24,99
25,741
25,2039
26,1374
26,304
26,461
27,1609
27,188
27,83
27,1818
27,1332
27,1704
28,1199
28,886
28,1167
29,1267
29,1110
30,156
30,322
30,2038
30,954
30,1189
31,2039
31,1774
32,304
32,1720
32,766
33,1642
33,1503
33,1070
33,549
33,615
34,1327
34,1773
34,447
34,46
34,313
35,206
35,1229
35,1420
35,454
35,134
36,1288
36,711
36,1608
36,1534
36,1710
37,1015
37,137
37,1599
37,65
38,1220
38,1387
38,651
38,765
39,773
39,712
40,901
40,584
40,1715
40,2005
40,349
40,418
41,788
41,1649
41,363
42,308
42,633
42,1735
42,1718
42,271
43,2001
43,945
44,1701
44,1596
44,1700
45,580
45,1529
45,1815
45,966
45,398
46,1436
46,1317
46,618
47,486
47,845
47,1529
47,1671
47,2019
47,1763
48,453
48,511
48,872
49,246
49,1570
49,695
49,1175
49,1360
49,882
51,746
52,1850
52,1573
52,1462
54,1193
54,775
54,1372
54,842
54,1820
55,420
55,331
55,784
55,1024
56,185
57,463
58,606
58,107
58,114
58,1131
59,692
59,82
59,1015
59,882
60,1453
60,683
60,130
60,370
60,1995
60,358
61,290
61,1779
61,1925
61,1455
61,1878
62,1045
63,1087
63,1503
63,916
63,198
63,1095
64,1581
64,1866
64,1151
65,1217
66,740
66,742
67,1857
67,470
67,896
67,361
68,797
68,427
68,882
69,1814
69,1657
69,1550
69,303
69,154
69,374
70,1743
70,1920
71,1787
71,1127
71,1954
71,797
71,524
71,1525
72,1065
72,1551
72,633
72,1537
73,337
73,869
73,775
73,1169
73,323
74,1262
74,914
74,544
74,1668
74,1714
75,1344
75,319
75,654
75,459
75,1407
76,309
76,1947
76,967
76,975
76,1106
77,585
77,1496
77,1650
77,1582
77,271
78,1970
78,1623
79,329
80,1864
80,1173
81,406
81,1251
81,1552
82,1138
82,174
82,751
82,1825
82,1781
83,1107
83,1410
83,1323
84,1016
84,949
84,922
85,335
85,1654
85,1353
85,427
85,548
85,1344
86,791
86,519
86,1685
86,1461
86,1562
86,1876
87,481
87,1983
87,1360
87,780
87,876
88,821
88,1128
88,153
88,1710
88,1005
89,1256
90,1805
90,1715
90,674
91,1535
91,1324
91,1336
91,1405
91,774
92,1329
92,1428
92,1833
93,234
93,1514
93,780
94,1443
94,1412
94,2033
94,1649
94,1669
94,999
95,470
95,1259
95,1632
95,1839
96,247
96,2044
96,1276
96,1659
96,583
97,1006
97,150
97,1359
97,684
97,772
97,1092
98,1158
98,1206
98,516
98,1752
98,1842
99,121
99,955
99,1397
100,362
100,854
100,1790
100,283
100,1121
100,1048
101,1807
101,1873
102,374
102,864
102,1393
102,157
102,1529
103,365
103,1673
103,1011
103,855
104,696
104,575
104,403
104,863
104,345
104,197
105,634
105,750
105,1385
105,481
106,790
106,1716
106,1435
106,954
106,1470
107,942
107,248
107,1467
107,1246
107,345
108,1240
109,967
109,1873
109,1273
109,915
109,1020
110,239
110,1648
110,1646
111,1827
111,734
111,1804
111,851
111,1226
111,523
112,894
112,952
112,234
112,314
113,1808
113,1180
113,643
113,476
113,1182
113,1274
114,1075
114,1467
114,1519
114,1032
114,863
115,510
115,877
115,1580
116,1812
116,2036
116,178
117,1639
117,2061
117,314
118,2051
118,2052
118,738
119,1730
119,344
119,728
119,1756
119,189
119,951
120,527
120,1939
121,1439
121,1374
122,771
122,609
122,1594
123,323
123,1178
123,209
123,1593
124,668
124,1228
124,1804
124,255
125,1395
125,1798
126,2017
127,164
127,1947
127,812
128,1673
129,263
129,1447
129,1797
130,1114
130,555
131,828
131,1351
131,226
133,882
133,1455
133,1442
133,1825
134,554
134,741
134,340
135,641
135,1035
135,2063
135,427
135,1669
136,449
137,1934
137,1082
137,1205
138,1506
139,1993
139,388
139,1646
139,1303
139,594
139,1688
140,202
140,1820
141,274
142,1944
142,1709
142,1465
143,1272
143,1865
144,1751
144,2008
145,1921
145,493
145,1635
146,2049
146,857
147,212
148,576
148,1972
149,895
149,1986
149,1310
149,1794
149,1168
149,1945
150,1488
