id,G,B,E,P
0,1,25.70527734190583,1,0.3529862301084655
3,0,27.64316248334595,0,0.4552953900794825
5,1,31.882474086288195,0,0.41690164173751654
6,1,21.271490625682336,0,0.02621137043547339
8,1,43.87535369073132,1,0.9047272529847294
10,1,34.44305599265793,1,0.6832593429789154
15,1,33.93985068813018,1,0.7598294088878995
16,0,24.605408094737022,1,0.8109303747482363
20,1,24.186260246945384,1,0.39531102787089223
22,0,31.396540672049884,0,0.6503377116952004
23,0,39.62069586511365,0,0.05857179264611034
24,1,32.13137940066679,1,0.13203901440418353
27,0,20.79705169161169,0,0.050958596184589755
32,0,26.03506141668382,0,0.4529341688879722
39,0,31.513746904230302,0,0.33744491420080547
40,0,23.349750761515608,0,0.12397811894982302
41,1,28.70827158112125,0,0.3116388204754641
1,1,25.527480319069525,0,0.9330942497145192
4,0,21.22157640603455,0,0.38593264726899423
7,1,34.881998802271816,0,0.33272402075477714
9,0,26.757935602198355,1,0.7035793465307837
11,1,30.325161166590718,0,0.7045452837786584
13,1,26.000933237195362,0,0.8739412888585163
14,0,23.339719551475476,1,0.6840958106791859
17,1,36.9665462338916,0,0.20299852737823787
19,0,25.844423124944186,0,0.7419391326836291
21,1,30.609420217603176,0,0.7874622072607229
34,1,32.054391201713194,0,0.45369945417277613
45,1,24.47403108737203,0,0.3178129232586938
48,0,21.936189142139884,0,0.43891559309343375
49,1,35.38144824304975,1,0.544039927711342
811,1,36.8187488663562,0,0.02390066048947803
2,0,19.06563395700033,0,0.2017670568617944
12,1,34.89734491936711,0,0.1292519500633279
33,0,23.224611154850965,0,0.019079268239224678
38,0,23.860260375929787,1,0.6361751919670378
42,1,25.064829328571324,0,0.9344401985589241
44,1,23.331236133294304,1,0.4959592201473314
18,0,36.120877522488755,1,0.37320461474475086
26,0,34.922625819751325,1,0.6164261212060593
28,1,29.757786830865655,0,0.2149009476651308
31,0,29.07456696682136,0,0.8346439281604769
35,1,24.806247108979793,0,0.5167859111317367
29,1,40.03184608249502,0,0.23731757091779682
462,1,22.88255537258267,1,0.5601704530377476
857,1,33.34999843880571,1,0.5485100739150138
918,0,22.508703987050957,0,0.6649690253125486
25,1,22.366269800386146,1,0.27280896234116003
36,0,21.622938060341397,0,0.4156639840250451
43,1,20.8554827107035,0,0.18983466600629317
646,0,34.78194774386897,1,0.5630996138794749
908,0,23.63824412166192,1,0.7212599781100582
30,0,23.26025911533129,1,0.8897289718751877
642,0,24.05682682803671,1,0.06942731960686177
838,0,28.200719771222026,1,0.36915084728760916
37,1,32.99423642721616,1,0.4622128663120747
46,1,30.764497739220992,0,0.6951007963526
47,0,21.23681096717043,1,0.4551910440462288
124,0,27.83193330067021,0,0.8376540014295581
366,1,44.37862353769481,0,0.09539751186816858
389,1,23.94410337825895,1,0.7135724991536918
570,0,29.89367924242324,0,0.8158213095817655
839,0,42.924779804730754,1,0.5657772715553571
726,1,23.20160630212407,1,0.3369341975694061
179,0,31.862538244147892,0,0.9859369621032036
95,1,30.533796017304596,0,0.6360921987199915
480,0,20.290166234863108,1,0.1023710280470922
543,1,21.39851216075861,0,0.34770170653957466
655,0,30.42231580351667,0,0.08326632691828573
423,1,25.57935577411515,1,0.6504936768439894
990,1,32.988011107124485,1,0.21873805095637477
542,0,20.45871822916573,0,0.9597760026724528
938,1,34.81479577006123,0,0.12673002755599194
987,1,14.077520044642709,0,0.11137321527238875
501,0,19.833374514498793,1,0.979329622535483
199,0,39.138894157220705,0,0.9223595056178748
683,1,28.78765561978482,1,0.0471993594656388
134,0,34.38451828840032,0,0.9370857908999971
474,1,32.69381352531612,1,0.8722399895116746
583,0,28.92134964498327,0,0.2890120886578733
924,0,42.79402933511433,1,0.8981985757699676
164,0,23.05686678529144,1,0.624650209155243
895,0,21.961079147580918,1,0.3547097557789973
775,1,21.965293906962238,0,0.8206009821497008
981,1,35.79628853104371,1,0.8450507383467826
783,0,27.959080642516653,0,0.2713784605180558
796,1,30.31770317927523,0,0.7969694030822517
870,0,25.61334204259382,0,0.5909464354735103
342,0,40.47485432779869,1,0.5181050620595422
50,0,28.99189500149131,0,0.5456671262990931
53,0,27.93547541624687,0,0.14219802989395935
54,0,19.65001910713989,1,0.531155670817871
55,1,37.320924392967065,0,0.979279278437614
64,0,18.9182141779528,0,0.8404434105809252
65,1,17.48460899194466,1,0.053235355464506084
66,0,26.60699080914563,0,0.17563698354599866
71,0,30.48657111936355,1,0.908287424381876
72,1,25.520437584535696,1,0.2733759557758627
85,0,37.877467715905524,1,0.30803255237611826
51,1,39.25971677635821,0,0.8995369242487019
58,1,45.34808021207714,1,0.8183969264425038
59,1,36.701582691193515,1,0.10163338222850771
61,0,36.49847150570415,1,0.8207001637205109
75,1,37.588315065241574,0,0.3201168707210553
78,0,33.77210526237732,1,0.2690474520121199
83,1,25.739964600989648,0,0.7251239694786654
84,1,40.8612597695771,0,0.94290562740478
87,0,27.805027836917738,0,0.7541028551136685
386,0,23.584964789266824,0,0.9147282087094128
52,1,36.78436740126903,1,0.6762998287660218
56,1,29.572936341949152,0,0.8411340547269333
57,1,26.850340919388476,0,0.3121046434374509
60,1,25.396249807976943,0,0.4322114865322082
63,1,37.3138195122071,0,0.727461867884182
67,1,35.34947722443554,0,0.9655180451863046
69,1,27.858033298713067,1,0.4297613608361832
73,1,41.105088091076254,0,0.7064675788099865
74,1,42.3994084490449,0,0.705498038552571
81,0,35.42164418761083,0,0.741517483160561
62,0,27.208958426678677,0,0.9828367135031425
70,0,26.323812960263364,0,0.4715763705307049
77,1,38.017462062524956,0,0.8149732626068655
82,0,21.582924697958013,0,0.833998785257463
88,1,23.616272868370466,1,0.9836428964412484
89,0,32.03849644779153,0,0.6934617104682234
68,0,32.14711364244164,0,0.09385745232186338
76,0,32.625842059212324,1,0.9289960518377608
86,0,21.786254845941574,1,0.31609276140857057
607,0,25.687938987161832,0,0.41718084057242566
451,0,21.122591131187967,0,0.422925090251816
80,0,21.84332963910932,0,0.7350488210054934
673,1,22.933023559517075,0,0.06137194023437886
123,0,21.87151562954856,0,0.005449899571757011
685,0,26.232735738242788,0,0.12630429259115705
79,1,21.890110332499297,0,0.5816607614381335
643,1,26.672690918484033,1,0.33030971220176264
487,0,30.627609468245478,1,0.9496333375596894
652,1,37.237095396039145,1,0.7700724932887735
318,1,38.08061444640294,1,0.7354202710455221
427,0,35.62804610839769,1,0.20276554283564963
552,1,27.256567381817092,1,0.424182137496539
112,1,35.82253838466785,1,0.7251969497698046
941,1,35.61948156846804,1,0.7167206862589836
782,1,32.96880078633619,1,0.21464621203871204
842,1,23.894780799384286,0,0.19026961089237815
710,1,38.753881105801966,1,0.29318902723533447
714,1,26.52602222852596,1,0.6071752758463975
892,0,30.607639415383225,0,0.007276460915450977
943,1,27.530409622721503,0,0.6763325672194569
238,0,31.81202883256995,0,0.5349167657088361
299,0,27.086312812160518,1,0.5519915351466382
330,0,32.34790463948777,0,0.635387479897235
947,0,31.695191774054955,1,0.5438395827973724
709,0,29.83806651020595,0,0.2956063030977413
