id|community
0|0
1|0
2|0
3|0
4|0
5|0
6|0
7|0
8|0
9|0
10|0
11|0
12|0
13|0
14|0
15|0
16|0
17|0
18|0
19|0
20|0
21|0
22|0
23|0
24|0
25|0
26|0
27|0
28|0
29|0
30|0
31|0
32|0
33|0
34|0
35|0
36|0
37|0
38|0
39|0
40|0
41|0
42|0
43|0
44|0
45|0
46|0
47|1
48|0
49|2
50|0
51|0
52|0
53|0
54|0
55|1
56|0
57|0
58|0
59|0
60|0
61|0
62|0
63|0
64|0
65|0
66|0
67|0
68|0
69|0
70|3
71|3
72|3
73|3
74|4
75|3
76|3
77|3
78|3
79|3
80|3
81|3
82|3
83|3
84|3
85|4
86|4
87|3
88|3
89|3
90|3
91|3
92|3
93|3
94|3
95|3
96|3
97|3
98|3
99|3
100|4
101|3
102|3
103|3
104|4
105|4
106|3
107|4
108|3
109|3
110|4
111|4
112|4
113|4
114|4
115|4
116|4
117|3
118|4
119|4
120|4
121|4
122|4
123|4
124|4
125|4
126|4
127|4
128|4
129|4
130|4
131|4
132|4
133|4
134|4
135|4
136|4
137|4
138|4
139|4
140|1
141|1
142|1
143|1
144|1
145|5
146|0
147|1
148|1
149|0
150|1
151|1
152|1
153|6
154|1
155|1
156|1
157|1
158|1
159|1
160|1
161|5
162|1
163|1
164|1
165|1
166|1
167|1
168|1
169|1
170|1
171|1
172|5
173|1
174|1
175|0
176|1
177|1
178|0
179|1
180|1
181|1
182|1
183|1
184|1
185|6
186|1
187|1
188|1
189|1
190|7
191|7
192|7
193|7
194|7
195|2
196|7
197|7
198|7
199|6
200|7
201|7
202|7
203|7
204|7
205|7
206|2
207|7
208|7
209|6
210|4
211|4
212|4
213|1
214|4
215|4
216|4
217|4
218|4
219|4
220|4
221|1
222|4
223|4
224|4
225|4
226|4
227|4
228|4
229|4
230|4
231|4
232|4
233|4
234|4
235|4
236|4
237|4
238|4
239|4
240|4
241|4
242|4
243|4
244|4
245|4
246|4
247|4
248|4
249|4
250|1
251|1
252|0
253|1
254|1
255|1
256|4
257|1
258|1
259|1
260|1
261|1
262|1
263|1
264|4
265|4
266|1
267|1
268|1
269|2
270|2
271|2
272|2
273|0
274|2
275|2
276|2
277|2
278|2
279|2
280|2
281|1
282|2
283|2
284|2
285|2
286|2
287|2
288|2
289|2
290|2
291|0
292|2
293|0
294|0
295|0
296|0
297|0
298|2
299|3
300|3
301|3
302|3
303|3
304|3
305|3
306|3
307|3
308|3
309|3
310|3
311|3
312|3
313|3
314|3
315|3
316|3
317|3
318|3
319|3
320|3
321|3
322|3
323|3
324|3
325|3
326|3
327|3
328|3
329|1
330|1
331|1
332|1
333|1
334|1
335|1
336|1
337|1
338|1
339|1
340|1
341|1
342|1
343|1
344|1
345|1
346|1
347|1
348|1
349|1
350|1
351|1
352|1
353|1
354|1
355|1
356|1
357|1
358|1
359|1
360|1
361|1
362|1
363|1
364|1
365|1
366|1
367|1
368|1
369|5
370|5
371|5
372|5
373|5
374|1
375|5
376|5
377|5
378|5
379|5
380|4
381|5
382|5
383|5
384|4
385|5
386|5
387|5
388|1
389|5
390|5
391|5
392|5
393|5
394|5
395|1
396|5
397|5
398|5
399|8
400|3
401|8
402|8
403|8
404|8
405|8
406|8
407|8
408|8
409|8
410|3
411|8
412|8
413|8
414|8
415|8
416|8
417|7
418|8
419|8
420|7
421|8
422|8
423|8
424|8
425|3
426|3
427|3
428|8
429|6
430|8
431|8
432|3
433|8
434|8
435|8
436|8
437|8
438|3
439|0
440|1
441|0
442|0
443|0
444|0
445|0
446|0
447|0
448|0
449|1
450|4
451|1
452|0
453|0
454|0
455|4
456|4
457|1
458|0
459|0
460|0
461|0
462|1
463|1
464|1
465|0
466|1
467|1
468|1
469|6
470|6
471|6
472|6
473|6
474|6
475|6
476|6
477|6
478|6
479|3
480|6
481|6
482|6
483|3
484|6
485|6
486|6
487|6
488|6
489|6
490|6
491|6
492|6
493|6
494|6
495|6
496|6
497|6
498|6
499|6
500|6
501|6
502|6
503|6
504|6
505|6
506|6
507|6
508|3
509|6
510|6
511|6
512|6
513|6
514|6
515|6
516|6
517|6
518|6
519|1
520|5
521|1
522|1
523|6
524|6
525|5
526|5
527|6
528|6
529|6
530|6
531|6
532|6
533|1
534|6
535|5
536|1
537|6
538|6
539|3
540|3
541|3
542|3
543|3
544|3
545|3
546|3
547|3
548|3
549|3
550|3
551|3
552|3
553|3
554|3
555|3
556|3
557|3
558|3
559|3
560|3
561|3
562|3
563|3
564|3
565|3
566|3
567|3
568|3
569|3
570|3
571|3
572|3
573|3
574|3
575|3
576|3
577|3
578|1
579|1
580|0
581|1
582|7
583|1
584|0
585|0
586|0
587|0
588|0
589|0
590|0
591|7
592|7
593|7
594|0
595|0
596|1
597|0
598|7
599|7
600|7
601|7
602|7
603|0
604|7
605|7
606|0
607|0
608|7
609|0
610|7
611|0
612|7
613|7
614|0
615|7
616|0
617|0
618|7
619|0
620|0
621|7
622|7
623|0
624|0
625|0
626|7
627|7
628|7
629|7
630|7
631|7
632|7
633|7
634|7
635|7
636|7
637|7
638|7
639|7
640|7
641|7
642|7
643|6
644|7
645|7
646|7
647|6
648|5
649|7
650|7
651|7
652|7
653|7
654|7
655|7
656|7
657|7
